"","lccode","year","campaign","location","cyear","target","tccode","navco1designation","camp_orgs","camp_size","camp_size_est","camp_conf_intensity","rad_flank","resis_meth","cdivers_gender","cdivers_age","cdivers_class","cdivers_urbrural","cdivers_ideol","cdivers_party","cdivers_regional","cdivers_ethnicity","cdivers_religion","camp_goals","goalschange","camp_structure","pi_educ","pi_socwel","pi_tradmedia","pi_newmedia","pi_police","pi_army","pi_dispute","media_outreach","repression","discrim","ab_domestic_con","ab_inter_con","ab_inter_reper","camp_backlash","sec_defect","state_defect","dom_media","regime_support","wdrwl_support","camp_support","ingo_support","dias_support","sdirect","slifted","in_media","success","progress","pop_opinion","reliability","id","prim_method"
"30",615,1962,"Algerian Revolt/ National Liberation Front","Algeria",2,"French occupation","220",0,NA,2,1,3,0,0,1,1,1,1,1,1,1,0,0,5,0,1,NA,NA,1,NA,NA,1,NA,1,3,1,NA,1,1,NA,NA,NA,2,NA,NA,1,NA,1,0,NA,2,1,4,NA,3,6,0
"31",615,1958,"Algerian Revolt/ National Liberation Front","Algeria",1,"French occupation","220",0,NA,2,1,3,0,0,1,1,1,1,1,1,1,0,0,5,0,1,NA,NA,1,NA,NA,1,NA,1,3,1,NA,1,1,3,NA,NA,2,NA,NA,1,NA,1,0,NA,2,0,0,NA,3,6,0
"32",615,1959,"Algerian Revolt/ National Liberation Front","Algeria",1,"French occupation","220",0,NA,2,1,3,0,0,1,1,1,1,1,1,1,0,0,5,0,1,NA,NA,1,NA,NA,1,NA,1,3,1,NA,1,1,3,NA,NA,2,NA,NA,1,NA,1,0,NA,2,0,2,NA,3,6,0
"33",501,1991,"Anti-Arap Moi","Kenya",2,"Daniel Arap Moi","501",1,2,NA,NA,0,1,0,NA,NA,1,NA,NA,1,NA,NA,1,0,0,1,0,0,0,0,0,0,0,1,2,0,NA,1,1,0,NA,NA,1,NA,1,1,NA,NA,NA,0,1,1,4,NA,2,7,1
"34",501,1990,"Anti-Arap Moi","Kenya",0,"Daniel Arap Moi","501",1,NA,1,0,0,2,0,NA,1,1,NA,NA,NA,1,NA,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,1,3,1,NA,1,1,3,NA,NA,2,NA,1,1,NA,NA,NA,NA,2,0,1,NA,3,7,1
"35",553,1992,"Anti-Banda","Malawi",0,"Banda regime","553",1,6,2,1,1,1,0,1,1,1,1,NA,1,1,1,1,2,0,0,0,0,1,1,0,0,0,1,3,1,1,1,1,3,NA,NA,2,0,1,0,0,0,0,0,1,0,3,1,3,8,1
"36",553,1993,"Anti-Banda","Malawi",2,"Banda regime","553",1,0,2,1,2,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,1,3,1,1,1,1,3,1,1,2,0,1,0,0,0,0,0,1,1,4,1,3,8,1
"37",110,1991,"Anti-Burnham / Hoyte","Guyana",1,"Burnham/Hoyte autocratic regime","110",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1
"38",110,1990,"Anti-Burnham / Hoyte","Guyana",0,"Burnham/Hoyte autocratic regime","110",1,0,3,2,0,1,0,1,1,1,1,0,0,1,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,0,1,1,3,9,1
"39",110,1992,"Anti-Burnham / Hoyte","Guyana",2,"Burnham/Hoyte autocratic regime","110",1,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,4,1,3,9,0
"40",70,2006,"Anti-Calderon","Mexico",0,"Calderon regime","70",1,5,NA,2,2,1,0,1,1,0,1,0,1,1,1,1,0,0,1,NA,NA,1,NA,NA,NA,NA,NA,3,0,0,1,NA,3,NA,NA,2,NA,NA,0,NA,1,0,0,2,0,0,1,3,10,1
"41",360,1988,"Anti-Ceaucescu rebels","Romania",1,"Ceacescu regime","360",1,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,2,11,1
"42",360,1987,"Anti-Ceaucescu rebels","Romania",0,"Ceacescu regime","360",1,1,1,1,0,1,0,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,3,11,1
"43",360,1989,"Anti-Ceaucescu rebels","Romania",2,"Ceacescu regime","360",0,0,3,2,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,3,1,1,1,0,3,1,1,0,0,0,1,0,1,0,0,2,1,4,0,3,11,0
"44",551,2001,"Anti-Chiluba","Zambia",0,"Chiluba regime","551",1,1,5,3,1,1,0,1,1,1,1,1,1,1,1,1,2,0,1,NA,NA,NA,NA,NA,NA,NA,1,2,1,NA,NA,NA,0,0,1,2,1,0,1,1,0,0,0,1,1,4,1,2,12,1
"45",433,2000,"Anti-Diouf","Senegal",0,"Diouf govt","433",1,1,4,2,0,2,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,0,0,1,2,0,0,0,0,0,0,0,2,1,4,0,3,13,1
"46",450,1990,"Anti-Doe rebels","Liberia",2,"Doe regime","450",0,1,1,1,3,0,0,1,NA,NA,NA,NA,0,0,0,NA,0,0,1,0,0,NA,0,0,1,0,NA,3,1,NA,1,0,3,NA,NA,2,NA,0,1,0,NA,0,0,2,1,4,NA,2,14,0
"47",450,1989,"Anti-Doe rebels","Liberia",0,"Doe regime","450",0,1,1,0,0,0,0,1,NA,NA,NA,NA,0,0,0,NA,0,0,1,0,0,NA,0,0,1,0,0,3,1,NA,1,0,3,NA,NA,2,0,0,1,0,NA,0,0,2,0,1,NA,2,14,0
"48",41,1985,"Anti-Duvalier","Haiti",0,"Jean Claude Duvalier","41",1,3,1,0,0,2,0,NA,1,1,1,1,NA,1,1,1,0,0,0,NA,NA,1,NA,NA,NA,NA,NA,3,1,1,1,1,3,NA,1,0,NA,1,1,1,1,1,0,2,1,4,NA,3,15,1
"49",135,2000,"Anti-Fujimori","Peru",0,"Fujimori govt","135",1,4,2,1,0,1,0,1,1,1,1,1,1,1,1,NA,0,0,1,NA,NA,1,1,NA,NA,NA,1,2,0,1,1,NA,3,1,1,2,0,0,1,1,0,0,0,1,1,4,1,3,16,1
"50",781,2004,"Anti-Gayoom","Maldives",1,"Maumoon Abudul Gayoom's regime","781",1,1,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,1,0,3,0,0,2,1,0,0,0,1,1,0,0,0,1,0,3,17,1
"51",781,2005,"Anti-Gayoom","Maldives",1,"Maumoon Abudul Gayoom's regime","781",1,0,2,1,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,1,1,0,3,0,0,2,1,0,0,0,0,0,1,0,0,3,0,3,17,1
"52",781,2003,"Anti-Gayoom","Maldives",0,"Maumoon Abudul Gayoom's regime","781",1,1,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,3,NA,1,2,1,0,0,0,0,0,0,0,0,2,0,3,17,1
"53",781,2006,"Anti-Gayoom","Maldives",1,"Maumoon Abudul Gayoom's regime","781",1,1,2,1,2,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,1,1,0,3,0,1,2,1,0,0,0,0,0,0,0,0,3,0,3,17,1
"54",625,1985,"Anti-Jaafar","Sudan",0,"Jaafar Nimiery","625",1,7,2,1,1,1,0,NA,1,1,NA,1,1,1,1,NA,0,0,1,NA,NA,NA,NA,NA,NA,NA,1,3,1,1,1,NA,3,1,NA,2,NA,NA,0,NA,NA,0,NA,2,1,4,NA,2,18,1
"55",101,1958,"Anti-Jimenez","Venezuela",0,"Jimenez dictatorship","101",1,4,2,1,0,1,0,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,3,1,1,1,0,0,1,0,1,0,0,1,1,4,1,2,19,1
"56",350,1963,"Anti-Karamanlis","Greece",0,"Karamanlis regime","350",1,1,4,2,0,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,1,4,0,2,20,1
"57",769,1968,"Anti-Khan","Pakistan",0,"Khan regime","769",1,11,2,1,1,2,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,3,1,1,0,0,3,1,1,2,0,0,0,0,0,0,0,2,0,2,0,3,21,1
"58",769,1969,"Anti-Khan","Pakistan",2,"Khan regime","769",1,1,2,1,2,1,0,1,1,1,1,1,1,1,1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,1,3,1,1,0,0,3,1,1,2,0,0,0,0,0,0,0,2,0,3,0,3,21,1
"59",811,1978,"Anti-Khmer Rouge","Cambodia",0,"Cambodian government","811",0,2,2,1,1,0,0,1,1,1,1,1,NA,1,NA,1,0,0,1,0,0,0,0,0,1,0,NA,3,1,1,0,0,3,1,0,NA,1,0,1,0,0,0,0,1,0,1,0,2,22,0
"60",811,1979,"Anti-Khmer Rouge","Cambodia",2,"Cambodian government","811",0,1,2,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,1,1,1,3,1,1,0,0,3,1,0,1,1,0,1,0,0,0,0,1,1,4,0,2,22,0
"61",347,1996,"Anti-Milosevic","Serbia",0,"Milosevic regime","347",1,11,4,2,1,2,0,1,1,1,0,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,1,1,1,NA,NA,NA,0,0,1,2,1,0,0,1,1,0,0,2,0,2,1,3,23,1
"62",347,1997,"Anti-Milosevic","Serbia",1,"Milosevic regime","347",1,0,4,2,2,2,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,1,3,1,1,1,0,3,0,1,2,1,0,0,1,1,0,0,2,0,3,1,3,23,1
"63",347,2000,"Anti-Milosevic","Serbia",2,"Milosevic regime","347",1,2,5,3,0,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,1,2,0,1,1,1,3,1,1,2,0,0,1,1,1,1,0,2,1,4,1,3,23,1
"64",347,1999,"Anti-Milosevic","Serbia",1,"Milosevic regime","347",1,1,4,2,2,2,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,1,3,1,1,1,1,3,0,0,2,0,1,1,1,1,1,0,2,0,0,1,3,23,1
"65",347,1998,"Anti-Milosevic","Serbia",1,"Milosevic regime","347",1,1,4,2,3,2,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,3,1,1,1,0,3,0,0,2,1,0,0,1,1,0,0,2,0,3,1,3,23,1
"66",95,1987,"Anti-Noriega","Panama",0,"Noriega regime","95",1,1,4,2,0,1,0,1,1,1,NA,NA,NA,NA,1,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,3,1,1,1,1,2,1,1,0,0,NA,1,1,NA,1,0,1,0,0,NA,3,24,1
"67",95,1988,"Anti-Noriega","Panama",1,"Noriega regime","95",1,NA,4,2,0,1,0,1,1,1,NA,NA,NA,NA,1,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,3,1,1,1,1,2,1,1,0,0,NA,1,1,NA,1,0,2,0,0,NA,3,24,1
"68",95,1989,"Anti-Noriega","Panama",2,"Noriega regime","95",1,5,4,2,0,2,0,1,1,1,NA,1,1,NA,1,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,3,1,1,1,1,3,1,1,0,0,NA,1,1,NA,1,0,2,0,2,1,3,24,1
"69",155,1985,"Anti-Pinochet Movement","Chile",1,"Augusto Pinochet","155",1,2,NA,NA,1,2,2,1,1,1,1,1,1,1,1,1,0,0,0,NA,1,1,NA,NA,NA,NA,1,3,1,1,NA,NA,3,NA,1,1,1,0,0,1,1,1,0,1,0,2,1,2,26,1
"70",155,1983,"Anti-Pinochet Movement","Chile",0,"Augusto Pinochet","155",1,4,NA,NA,1,2,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,NA,NA,NA,NA,1,3,1,1,NA,NA,3,NA,NA,1,1,0,NA,1,1,1,0,1,0,0,1,2,26,1
"71",155,1987,"Anti-Pinochet Movement","Chile",1,"Augusto Pinochet","155",1,3,NA,NA,1,2,0,1,1,1,1,1,1,1,1,1,0,0,0,NA,1,1,NA,NA,NA,NA,1,3,1,1,1,NA,3,1,1,2,1,0,1,1,1,1,0,2,0,2,1,2,26,1
"72",155,1984,"Anti-Pinochet Movement","Chile",1,"Augusto Pinochet","155",1,1,NA,NA,1,2,1,1,1,1,1,1,1,1,1,1,0,0,0,NA,1,1,NA,NA,NA,NA,1,3,1,1,NA,NA,3,NA,NA,1,1,0,0,1,1,1,0,1,0,0,1,2,26,0
"73",155,1986,"Anti-Pinochet Movement","Chile",1,"Augusto Pinochet","155",1,1,NA,NA,1,2,0,1,1,1,1,1,1,1,1,1,0,0,0,NA,1,1,NA,NA,NA,NA,1,3,1,1,1,NA,3,NA,NA,1,1,0,NA,1,1,1,0,1,0,2,1,2,26,1
"74",155,1988,"Anti-Pinochet Movement","Chile",1,"Augusto Pinochet","155",1,1,NA,NA,0,2,0,1,1,1,1,1,1,1,1,1,0,0,0,NA,1,1,NA,NA,NA,NA,1,1,1,1,1,NA,3,1,NA,2,1,0,1,1,1,1,0,2,0,3,1,2,26,1
"75",155,1989,"Anti-Pinochet Movement","Chile",2,"Augusto Pinochet","155",1,0,NA,NA,0,2,0,1,1,1,1,1,1,1,1,1,0,0,0,NA,1,1,NA,NA,NA,NA,1,1,1,NA,NA,NA,3,NA,NA,2,0,1,1,1,1,1,0,2,1,4,1,2,26,1
"76",70,1999,"Anti-PRI","Mexico",1,"corrupt govt","70",1,NA,NA,NA,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,3,NA,NA,2,0,NA,1,NA,1,0,0,1,0,3,1,2,25,1
"77",70,1994,"Anti-PRI","Mexico",1,"corrupt govt","70",1,3,NA,NA,2,2,0,1,1,1,1,1,1,1,1,1,0,0,0,NA,NA,NA,1,NA,NA,NA,0,3,0,1,1,1,3,NA,1,2,0,NA,0,1,0,0,0,2,0,2,1,3,25,1
"78",70,1988,"Anti-PRI","Mexico",1,"corrupt govt","70",1,1,3,2,1,1,0,1,1,1,1,1,1,1,NA,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,3,0,1,NA,NA,3,0,1,1,0,0,0,0,1,0,0,1,0,2,1,3,25,1
"79",70,1987,"Anti-PRI","Mexico",0,"corrupt govt","70",1,3,2,1,0,1,0,1,1,1,NA,1,1,0,NA,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,3,0,1,NA,NA,3,NA,1,1,0,0,0,0,1,0,0,0,0,1,1,2,25,1
"80",70,1996,"Anti-PRI","Mexico",1,"corrupt govt","70",1,1,NA,NA,2,2,0,1,1,1,1,1,1,1,1,1,0,0,0,NA,NA,NA,1,NA,NA,NA,1,3,1,NA,1,NA,3,NA,NA,1,0,NA,1,1,0,0,0,2,0,2,1,3,25,1
"81",70,1993,"Anti-PRI","Mexico",1,"corrupt govt","70",1,NA,NA,NA,1,1,0,1,1,1,1,1,1,1,NA,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,3,0,1,1,NA,3,NA,NA,1,0,NA,0,NA,0,0,0,1,0,0,1,2,25,1
"82",70,1998,"Anti-PRI","Mexico",1,"corrupt govt","70",1,1,NA,NA,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,3,NA,NA,2,0,NA,1,NA,1,0,0,1,0,1,1,2,25,1
"83",70,1992,"Anti-PRI","Mexico",1,"corrupt govt","70",1,NA,NA,NA,2,1,0,1,1,1,1,1,1,1,NA,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,3,0,NA,NA,NA,3,NA,NA,1,0,NA,0,NA,0,0,0,1,0,0,1,2,25,1
"84",70,1989,"Anti-PRI","Mexico",1,"corrupt govt","70",1,NA,NA,NA,1,1,0,1,1,1,1,1,1,1,NA,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,3,0,NA,NA,NA,3,NA,NA,1,0,NA,0,NA,0,0,0,2,0,2,1,2,25,1
"85",70,1997,"Anti-PRI","Mexico",1,"corrupt govt","70",1,1,NA,NA,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,NA,NA,1,NA,NA,NA,NA,1,3,1,1,1,NA,3,NA,NA,2,0,NA,1,1,1,0,0,2,0,3,1,3,25,1
"86",70,1990,"Anti-PRI","Mexico",1,"corrupt govt","70",1,NA,NA,NA,1,1,0,1,1,1,1,1,1,1,NA,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,3,0,NA,NA,NA,3,NA,NA,1,0,NA,0,NA,0,0,0,0,0,1,1,2,25,1
"87",70,2000,"Anti-PRI","Mexico",2,"corrupt govt","70",1,NA,NA,NA,2,1,0,1,1,1,1,1,1,1,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,0,NA,NA,2,0,NA,1,NA,1,0,0,2,1,4,1,2,25,1
"88",70,1995,"Anti-PRI","Mexico",1,"corrupt govt","70",1,NA,NA,NA,2,2,0,1,1,1,1,1,1,1,1,1,0,0,0,NA,NA,NA,1,NA,NA,NA,0,3,1,NA,1,NA,3,NA,NA,1,0,NA,0,1,0,0,0,2,0,2,1,3,25,1
"89",70,1991,"Anti-PRI","Mexico",1,"corrupt govt","70",1,NA,NA,NA,1,1,0,1,1,1,1,1,1,1,NA,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,3,0,NA,NA,NA,3,NA,NA,1,0,NA,0,NA,0,0,0,0,0,0,1,2,25,1
"90",452,2000,"Anti-Rawlings","Ghana",0,"Rawlings govt","452",1,6,2,1,1,1,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,1,1,4,1,3,27,1
